제목,본문
생명보험 상품 선호도 보니…건강·실손이 1위,"



 생명보험 상품 중 고객들이 가장 선호하는 보험상품은 암이나 심근경색 등 주요 질병을 보장하는 '건강보험'인 것으로 나타났다. 삼성생명 컨설턴트들은 본인 직업에 대체로 만족하고 있으며, 경력이 길수록 만족도가 높은 경향을 보였다. 삼성생명은 이와 같은 내용을 담은 설문결과를 18일 발표했다. 삼성생명 컨설턴트들은 고객들이 가장 선호하는 상품으로 건강보험(39.1%)을 꼽았다. 이어 실손(22.1%), 연금(18.8%), 종신(12.5%)순이었다. 건강보험은 질병에 걸렸을 경우 치료비, 수술비, 입원비 등을 보장하는 보험이다. 이 회사의 건강보험 상품으로는 'New종합건강보험 일당백', '유쾌통쾌 건강보험 와치4U', '건강자산 비갱신 암보험' 등이 있다. 삼성생명 컨설턴트들이 고객에게 가장 필요하다고 생각하는 보장 역시 '건강보장(80.6%)'인 것으로 나타났다. 실제로 최근 5년(2017년~2021년) 삼성생명의 보험 가입·지급 데이터를 분석한 결과, 건강보험 가입건수가 42.9%으로 1위를 기록했고, 사고보험금 지급금 또한 건강보험이 56.5%로 1위였다. '100세 시대'에 고객들이 가장 걱정하는 것을 묻는 질문에는 노후생활비(45.2%)라는 응답이 가장 많았다. 치매·간병비(27%)와 진료비(24.9%)도 부담되는 지출이었다. 삼성생명 컨설턴트들은 '탄탄한 변액연금보험'과 연금선지급제도를 활용해 노후 생활자금을 확보할 수 있는 '행복 종신보험' 등을 추천한다고 밝혔다.설문조사는 삼성생명 컨설턴트 9,918명이 참여했으며, 사내 시스템을 활용한 온라인 설문조사 방식으로 이뤄졌다. 응답자 10명 중 7명이 본인 직업에 '매우 만족(22.7%)' 또는 '만족(50.1%)' 한다고 답했다. 삼성생명 관계자는 ""2년차 이하 컨설턴트의 직업 만족도는 68.4%, 3~5년차 컨설턴트는 69.6%였으나, 5~10년차 컨설턴트는 75.7%, 10년차 이상 컨설턴트는 78.4%나 됐다""면서 ""올 7월 기준 삼성생명 컨설턴트 중 10년차 이상이 차지하는 비율이 34.8%에 달한다""고 설명했다. [신찬옥 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"""중고차 살 때 무조건 무조건이야""…침수차, 카히스토리로 무료 조회","



 연간 발생하는 침수차량 피해 중 장마철 집중호우로 인해 통상 7~10월 기간 중 침수차량 비중이 90%가 넘는다. 올해도 집중호우로 인해 다수의 침수차량 발생했다.장마철 이후 중고차 구입 계획이 있다면 보험개발원이 운영하는 카히스토리 무료 침수차량 조회 서비스를 이용해 1차적으로 침수차량 여부를 확인하는 것이 필요하다.보험개발원은 중고차 시장에서 침수차량이 무사고 차량으로 둔갑해 유통될 경우 소비자 피해가 발생할 수 있다며 주의를 당부했다.18일 손해보험협회에 따르면 8일부터 17일 오전 10시까지 12개 손해보험사에 접수된 집중호우에 따른 차량 피해는 추정 집계로 총 1만1488대로 파악됐다.보험개발원은 침수차량이 무사고 차량으로 중고차 시장에서 유통되는 것을 방지하기 위해 2011년 9월부터 카히스토리 홈페이지를 통해 무료 침수차량 조회 서비스를 제공하고 있다. 차량번호 또는 차대번호를 입력하면 침수차량 여부를 확인할 수 있다. 보험개발원 관계자는 ""전자장비가 많은 요즘 차량은 장마철 폭우로 인해 침수될 경우 차량 부품의 부식으로 안전상의 문제가 지속 될 가능성이 높다""며 ""침수차량은 보험사고 접수 후 이틀 후면 카히스토리에 해당 정보가 반영, 침수차량 여부를 바로 조회할 수 있다""고 말했다.카히스토리는 자동차보험 사고자료를 토대로 사고이력 정보를 제공하는 서비스다. 다만, 보험사에 사고발생 사실이 신고되지 않았거나 자동차보험으로 처리되지 않은 경우 확인되지 않는다. 가령 차주가 자동차보험으로 처리하지 않고 침수차량을 수리한 경우 침수차량 여부를 확인하기 어렵다.보험개발원은 침수차량 정보 외에 주행거리 및 파손부위 등 다양한 정보를 카히스토리를 통해 제공하고 있다.[전종헌 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"[속보]카카오 ""카카오모빌리티 지분 매각 추진 중단""","



 카카오가 자회사 '카카오모빌리티' 매각 추진을 중단한다.카카오 공동체얼라인먼트센터(이하 공동체센터)는 카카오모빌리티 주주 구성 변경 검토를 중단한다고 18일 밝혔다. 카카오모빌리티 노사가 도출한 사회와의 지속 성장 의지를 존중하고, 이를 구체화해 실행해 나가는 것을 지원할 예정이다.그간 카카오 공동체센터는 카카오모빌리티의 주주 구성을 변경하는 안을 검토하며 모빌리티 노사와 소통해왔다. 이에 카카오모빌리티 노사는 지난 8월 '모빌리티와 사회의 지속 성장을 위한 협의체(이하 지속성장 협의체)'를 구성하고, 카카오 공동체 내에서 사회적 책임을 실천하며 성장과 혁신을 만들겠다는 의지를 카카오 공동체센터에 전달했다.카카오 공동체센터는 카카오모빌리티 협의체가 도출한 방향성을 존중해 그동안 검토했던 주주구성 변경 검토를 중단하기로 결정했다. 앞으로 카카오 공동체센터와 카카오모빌리티는 사회적 책임을 다하며 국민들의 이동 문제를 해소하기 위한 성장과 혁신을 함께 만들어 나가겠다고도 했다.홍은택 카카오 각자대표는 ""카카오모빌리티와 카카오 공동체센터는 사회가 공감할 수 있는 지속가능한 혁신에 기반해 교통 문제를 해결하기 위해 노력할 것""이라며 ""한국 모빌리티 생태계의 성장을 카카오모빌리티가 계속해서 이끌어나갈 수 있도록 적극 지원하고 응원하겠다""라고 밝혔다.[김우현 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"[단독] 자산 많은 자영업자, 빚 탕감 제한","정부가 새출발기금 지원 대상 중 자산이 있는 사람에 대해서는 부채 탕감 금액을 대폭 줄일 방침이다. 새출발기금은 소상공인과 자영업자의 부실 채권을 탕감해 채무 감면을 지원하는 배드뱅크 성격의 기금이다.정부는 부채 원금을 감면할 때 차주 자산에서 부채를 뺀 '순부채'에 대해서만 원금 감면율 60~90%를 적용하기로 했다. '원금을 탕감해줄 때 도덕적 해이가 발생할 수 있다'는 금융권 의견을 수용한 것이다.  17일 금융권에 따르면 금융위원회는 이 같은 합의안을 바탕으로 18일 새출발기금 관련 설명회를 연다. 금융위 고위 관계자는 ""새출발기금의 원금 감면은 자산에서 부채를 뺀 순부채 개념에서 60~90% 감면율을 적용하는 방식이 될 것""이라며 ""부채 총량 관점에서 보면 감면율은 0~90%가 된다""고 설명했다. 당국은 채무조정 감면율은 기존 방안대로 60~90%를 유지하기로 했다. 신용회복위원회를 통해 운영 중인 채무조정 제도에서도 원금에 대해 최대 90%까지 조정하고 있어 이를 낮추면 제도가 후퇴하는 결과를 낳을 수 있다는 우려 때문이다.새출발기금의 채무 매입 한도는 조정될 전망이다. 금융위 관계자는 ""채무 매입 한도가 다소 높다는 지적이 있어 조정 논의가 이뤄졌다""면서 ""쟁점이 된 사안들은 금융권과 협의를 거쳐 우려를 해소했다""고 말했다. [김유신 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
가스公 사장 결국 '재공모',"한국가스공사가 이달 말 신임사장 재공모에 나선다.17일 매일경제 취재를 종합하면 이달 말 재공모 작업에 돌입하면 신임 사장은 오는 11월 중 임명될 것으로 예상된다. 현 채희봉 가스공사 사장의 임기는 지난달 이미 만료됐다. 재공모에 나서는 것은 산하기관장 임명 제청권자인 산업통상자원부가 최근 공모 과정에서 마땅한 적임자가 없다고 판단한 데 따른 것으로 해석된다.가스공사는 지난 5월 임원추천위원회(임추위)를 구성하고 신임 사장 선임 절차를 밟아왔다. 이후 지난달 말 사장 후보자 면접 심사를 진행하고 김기수 전 안전관리본부장, 김정규 전 경기지역본부장, 장진석 전 공급본부장, 조시호 전 감사실장 등 내부 출신 4명과 외부 인사 1명 등 총 5명을 최종 후보로 선정했다. 이 과정에서 가장 유력한 후보로 거론돼온 한국철도공사 사장 출신인 최연혜 전 자유한국당(현 국민의힘) 의원이 후보 5명 명단에 들지 못한 것으로 파악됐다. 문재인 정부 때 선임된 일부 임추위 위원들이 최 전 의원을 적극 반대한 것으로 알려졌다.한국수력원자력은 다음달 중 신임 사장이 결정될 것으로 전망된다. 유력 후보로는 황주호 경희대 원자력공학과 교수가 꼽힌다. 이 밖에 이종호 전 한수원 기술본부장과 정범진 경희대 원자력공학과 교수도 거론된다. 현재 이들을 대상으로 인사 검증을 하고 있으며 이달 중 공공기관운영위원회 심의·의결 등을 거쳐 신임 사장이 최종 결정될 예정이다.한편 신희동 전 산업부 기획조정실장은 최근 한국전자기술연구원(KETI) 원장에 취임했다. 신 원장은 대전 충남고를 졸업한 뒤 서울대 경영학 학사 학위를 받고 행정학 석사를 수료했다. 행정고시 38회로 공직에 입문했으며 산업부에서는 대변인, 원전산업정책관, 기획재정담당관, 지역산업과장 등을 거쳤다.[송광섭 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"캠코, 대구경북지역본부 포항지사 이전식 개최","



 캠코 포항지사가 새 둥지를 틀었다. 캠코는 포항시 남구 포스코대로 369(명선빌딩)에서 대구경북지역본부 포항지사 이전식을 개최했다고 17일 밝혔다. 포항지사 새출발을 기념하기 위해 마련된 이날 이전식에는 권남주 캠코 사장, 이강덕 포항시장, 강희종 대구경북지역본부장 등 관계자들이 참석했다. 캠코는 이번 이전으로, 포항·경주·울릉·영덕 등 4개 시·군 지역의 국유재산 이용고객 편의성을 높이고, 유관기관 및 지역 사회와의 소통도 강화될 것으로 기대하고 있다. 새 사무실은 기존 지사에 비해 주차공간을 늘렸고 대중교통 접근성도 좋아졌다. 권남주 캠코 사장은 ""포항시민들에게 한걸음 더 가까이 다가가 보다 나은 서비스를 제공하기 위해 지사를 이전했다""며 ""앞으로 캠코는 지역 사회와 소통을 강화하여, 지역 내 어려움에 처한 가계와 기업의 지원도 면밀히 살필 수 있도록 노력할 것""이라고 말했다. [신찬옥 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
이해관계자 배려한 공급망 시대…애플은 1100개 협력사 실사,"◆ 경영학회 융합학술대회 ◆



 ""이해관계자 자본주의는 기업이 반드시 지켜야 할 핵심적 가치로 자리 잡고 있다.""17일 전남 여수엑스포컨벤션센터에서 열린 제24회 한국경영학회 하계 융합학술대회 개막식에 참석한 경영학자들은 한국 기업들이 세계적인 기업들의 사례를 좇던 '추종 전략'에서 벗어날 것을 한목소리로 주문했다. 나아가 이해관계자 자본주의를 기반으로 전 세계 흐름을 선도하는 전략을 세워야 한다고 강조했다. 이해관계자 자본주의란 기업이 주주의 이익만이 아니라 직원, 고객, 지역사회 등의 이익을 추구한다는 개념이다. 코로나19 팬데믹(세계적 유행)으로 불확실한 경영환경이 이어지면서 지속가능한 기업이 되기 위한 전략의 중심으로 떠오르고 있다. 한상만 한국경영학회 회장(성균관대 교수)은 ""이해관계자 자본주의는 우리 사회와 기업이 지향해야 할 목적지""라며 ""기업 경영에서도 전 세계를 선도하는 모델을 만들어 나가야 한다""고 강조했다. 하지만 구현 방법에 대한 논의는 아직 부족하다. 한 회장은 ""2019년 미국 대기업 협의체인 '비즈니스라운드테이블(BRT)'도 기업이 사회적 책무를 강화해야 한다는 이해관계자 자본주의 경영을 선언했지만 실질적인 전략이 없어 비판을 받고 있다""며 ""국내 기업들이 ESG 경영(환경·책임·투명경영)에 나서고 있지만 이는 최소한의 전략일 뿐""이라고 말했다.경영학회는 한국 기업들의 글로벌 경쟁력 향상을 위해 학술대회 주제를 '이해관계자 자본주의 경영의 구현'으로 정하고 전략을 논의했다. 경영학회는 이 내용을 기반으로 10월 '이해관계자 중심 경영 선포식'을 개최한다는 계획이다. 한 회장은 ""올해 관련 내용을 기업과 대학에 공유해 이해관계자 중심의 경영 전략이 접목될 수 있도록 준비해 나가겠다""고 밝혔다.이날 학회에서는 이해관계자 중심 경영을 실천하기 위한 전략과 제언이 쏟아졌다. 학계 전문가와 주요 기업 관계자들은 이해관계자 자본주의라는 대전환기의 파고를 넘기 위해 △지속가능 공급망 구축 △공시 표준화 △ESG 위험관리에 따른 의사결정 등을 제안했다.양원준 포스코 경영지원본부장(부사장)은 산업화 초기 경영철학인 제철보국을 넘어 '함께 거래하고, 성장하고, 환경을 지키면서, 미래를 만들어 지역과 함께하는 회사'로 거듭나겠다는 의지를 담은 '기업시민 경영'을 소개했다. 그는 ""2019년 기업시민의 개념과 지향점, 실천 원칙 등을 담은 기업시민헌장을 선포하고 2020년엔 기업시민을 의사결정 기준으로 삼아 업무에 임할 수 있는 실천 가이드 CCMS를 제정했다""며 ""포스코 전 임직원이 기업시민헌장을 실천하며 자연스럽게 이해관계자 중심 경영 성과를 창출하는 체계를 구축하고 있다""고 설명했다.허대식 연세대 경영학과 교수는 '지속가능 공급망'이 이해관계자 자본주의를 구현할 수 있다고 설명했다. 그는 ""고객, 종업원, 공급회사, 지역사회, 비정부기구, 정부, 주주 등 공급망을 구성하는 다양한 이해관계자의 필요를 충족하면서 장기적으로 유지되고 성장하는 공급망이 바로 지속가능 공급망""이라며 ""기후변화와 사회적 이슈에 효과적으로 대응하기 위해 개별 기업의 관점에서 벗어나 공급망을 구성하는 기업의 총체적 조정과 협력이 필요하다""고 말했다.허 교수는 테크기업 애플을 지속가능 공급망 구축을 선도하는 기업으로 소개했다. 애플은 협력업체 경영진과 직원을 면담하고 현장점검, 자료 검토 등을 거쳐 협력업체들이 환경, 인권, 안전 등에 힘쓰는지 조사·평가·지원하고 있다. 지난해 52개국 1177개의 협력사 사업장을 현장 실사했으며, 35만여 명의 협력사 직원을 대상으로 설문조사와 면담을 진행하기도 했다.홍철규 중앙대 경영학부 교수는 현재 자율에 맡겨 구속성이 없는 '지속가능성 공시'를 표준화해야 한다고 주장했다. 그는 기후변화, 오염, 수자원·해양자원, 생물다양성과 생태계, 기업 내외부 근로자, 지배구조, 위험관리, 내부통제 등을 담은 '지속가능성 공시'를 향한 관심이 높아졌다고 설명했다. 그러나 보고서의 일관성이 부족하고, 정보량도 부족하다고 지적했다. 홍 교수는 이를 해결하기 위해 유럽이나 미국처럼 공시 기준 제정에 대한 논의를 시작해야 한다고 강조했다.[특별취재팀 : 여수 = 김대영 산업부장(부국장) / 이윤재 차장 / 원호섭 기자 / 진창일 기자 / 박윤구 기자 / 문광민 기자 / 서정원 기자 / 신유경 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
100개국에 완구 수출…전세계에 꿈과 행복을 팝니다,"◆ 경영학회 융합학술대회 / 중견기업 CEO상 ◆



 ""10년 이내에 캐릭터 제품과 애니메이션에서 10개 이상의 독자적인 지식재산권(IP)을 확보해 기업가치를 1조원으로 높이는 게 목표입니다. 어린이에게 꿈과 행복을 주는 전 세계 1위 캐릭터 콘텐츠 기업으로 성장시키겠습니다."" 노희열 오로라월드 회장이 17일 전남 여수엑스포컨벤션센터에서 개최된 제24회 한국경영학회 하계 융합학술대회에서 '중견기업 최고경영자(CEO)상'을 받았다.경영학회는 ""오로라월드는 주문자상표부착생산(OEM) 수출에 의존하던 시장에서 벗어나 자체 브랜드를 앞세워 레드오션에 속하던 노동집약적 봉제완구 사업을 블루오션으로 만들고, 캐릭터 완구·콘텐츠 전문 글로벌 중견기업으로 성장한 점을 높이 평가했다""고 설명했다.올해로 창립 41주년을 맞은 캐릭터 완구사 오로라월드는 미국, 영국, 독일 등의 판매 법인을 포함해 30개국에 전문 유통사를 두고 있다. 이를 통해 전 세계 100여 개국에 제품을 수출하고 있다. 올해 기준 수출 비중이 전체 매출의 80%를 넘으며, 수출 가운데 자체 브랜드 비중이 85%로 상당히 높다.오로라월드는 유명 라이선스를 빌려와 완구를 생산하는 데서 벗어나 '유후와 친구들'이란 자체 캐릭터를 개발하는 데 성공했다. '유후와 친구들'로 20여 개국에서 글로벌 라이선스 에이전트를 확보했다. 캐릭터로 시작해 애니메이션 제작까지 사업 영역을 넓혔다.노 회장은 OEM 사업의 한계를 일찌감치 파악하고 자체 캐릭터 개발에 매진했다. 브랜드 인지도를 높이기 위해 해외 고객을 중심으로 디자인을 개발하고 글로벌 마케팅에 힘을 쏟았다. 그는 ""완구업체는 대부분 창업 초기에는 OEM 사업을 하는데, 상품값을 제대로 받지 못할뿐더러 상표권자의 하도급 생산기지 역할밖에 할 수 없겠다고 판단했다""고 말했다.[특별취재팀 : 여수 = 김대영 산업부장(부국장) / 이윤재 차장 / 원호섭 기자 / 진창일 기자 / 박윤구 기자 / 문광민 기자 / 서정원 기자 / 신유경 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
광주·전남 초광역권으로 묶어 신산업 키워야 경제성장 가능,"◆ 경영학회 융합학술대회 ◆제24회 한국경영학회 하계 융합학술대회가 개최된 전남은 산업단지 105개를 조성해 국가 경제에 기여하고 있다. 전남의 지역내총생산(GDRP)은 2011년 63조원에서 2020년 78조원으로 10년 새 15조원 늘었다. 하지만 최근 전남의 경제 성장은 주춤하고 있다. 줄어드는 인구와 GDRP에서 많은 부분을 차지하는 농림·어업 부문이 흔들리고 있어서다. 융합학술대회 첫째 날인 17일 전남 여수엑스포컨벤션센터에선 '전남산업 생태계 혁신'을 주제로 경쟁력을 높이기 위한 전문가들의 열띤 토론이 이어졌다.김상태 전남테크노파크 정책기획단장은 ""전남 경제에서 비중이 큰 농림·어업의 경우 인구가 줄고 고령화가 심화되면서 경쟁력이 저하되고 있다""고 운을 뗐다. 전남이 제조업 부문에서 창출한 부가가치는 1985년 이후 연평균 8.8%씩 성장해 2020년 21조3000억원에 달했지만 전국에서 차지하는 비중은 1985년 5.1%에서 2020년 4.4%로 오히려 하락했다는 것이다. 참석자들은 이 같은 문제를 해결하기 위해 '규모의 경제' 실현, 선택과 집중을 통한 신성장동력 산업 육성 등을 강조했다. 김 단장은 ""전남은 여수, 순천, 광양을 중심으로 산단이 운영되고 있으므로 규모의 경제를 위해 초광역화가 필요하다""며 ""실버 산업, 헬스케어 산업 육성에도 나서야 한다""고 말했다. 김영수 산업연구원 선임연구위원도 ""광주·전남은 에너지 신산업 분야를 중심으로 두 지역의 산업 협력을 높일 수 있다""고 설명했다.[특별취재팀 : 여수 = 김대영 산업부장(부국장) / 이윤재 차장 / 원호섭 기자 / 진창일 기자 / 박윤구 기자 / 문광민 기자 / 서정원 기자 / 신유경 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"""철강신화 포스코…미래 소재사업 키워 100년기업 기반 닦겠다""","◆ 경영학회 융합학술대회 / 최우량기업 대상 ◆



 국내 경영학자들이 선정한 '최우량기업 대상'의 영예는 포스코홀딩스에 돌아갔다. 최우량기업 대상은 경영 성과가 탁월하고 전후방 산업 생태계와 고용 창출 등에 기여해 국가 경제 발전에 공헌한 기업에 한국경영학회가 수여하는 상이다. 경영학회는 ""기업시민 경영 이념을 바탕으로 이해관계자와 공존·공생의 가치를 추구하고 친환경 미래소재 대표 기업으로 거듭나 지속가능한 성장 기반을 마련했다""고 선정 이유를 밝혔다.최정우 포스코홀딩스 회장은 17일 매일경제와 인터뷰에서 ""포스코그룹은 '이해관계자 자본주의' 논의가 본격화되기 전인 2018년부터 '더불어 함께 발전하는 기업시민'을 경영 이념으로 실천해왔다""며 ""이해관계자와 함께 '리얼 밸류(Real Value) 스토리'를 만들어가겠다""고 강조했다. 포스코그룹이 추구하는 리얼 밸류란 기업이 기업 활동으로 사회 구성원들에게 제공하는 경제·환경·사회적 가치를 포괄한다. 최 회장은 ""저탄소·친환경으로의 경제 기반 전환은 산업 생태계의 근간을 바꿔놓고 있다""며 ""친환경 소재, 모빌리티, 디지털, 바이오 등의 기술 혁신 가속화는 기업에 새로운 미래 성장 기회를 제공하는 한편 변화에 뒤처진 기업에는 위기로 다가오고 있다""고 말했다. 이어 ""포스코그룹은 변화에 선제적으로 대응하고 100년 기업으로 지속 성장하고자 중장기 사업 전략뿐 아니라 사업의 효율적 추진을 위한 경영 체제에 대해 고민을 거듭했다""고 덧붙였다.이 같은 고민의 결과로 포스코그룹은 지난 3월 지주회사 체제로 전환했다. 기존 철강 사업과 신사업 간 '균형 성장'을 통해 친환경 미래소재 기업으로 자리매김한다는 목표다. 포스코그룹은 △친환경 철강 △2차전지 소재 △리튬·니켈 △수소 △에너지 △건축·인프라스트럭처 △식량 등을 7대 핵심 사업으로 정하고 그룹 역량을 집중하고 있다.2차전지 소재 사업은 철강을 제외한 핵심 사업 중 가장 빠르게 진행되고 있는 분야다. 포스코그룹은 8년 뒤 2차전지 소재 사업 매출 41조원을 달성하겠다는 목표를 제시했다. 소재별 2030년 목표 생산량은 리튬 30만t, 니켈 22만t, 양극재 61만t, 음극재 32만t 등이다.포스코그룹의 2차전지 소재 사업은 현재 포스코케미칼(양극재·음극재), 포스코아르헨티나(염호 기반 리튬), 포스코필바라리튬솔루션(광석 기반 리튬), 포스코HY클린메탈(배터리 소재 재활용) 등이 맡고 있다. 니켈은 아직 별도의 신규 법인이 없다. 최 회장은 ""니켈은 해외 자원 투자를 통해 핵심 중간재를 확보하고 배터리용 니켈을 직접 생산할 것""이라며 ""국내 설비 투자 시점을 고려해 법인 설립을 추진할 계획""이라고 말했다.포스코그룹의 지난해 매출은 76조3000억원이다. 철강 부문 매출이 41조원(내부거래 제외)을 차지한 반면, 미래소재 부문 매출은 1조2400억원에 그쳤다. 포스코그룹은 지난달 말 비상경영을 선언했다. 고환율·고금리·고물가에 따른 세계 경기 침체 가능성에 대비해 포스코그룹은 재무건전성을 확보하는 현금 중심 경영을 강화하기로 했다. 미래 사업에 대한 투자는 중단 없이 이어질 전망이다. 이번 위기 상황을 그룹의 미래 경쟁력을 높이고 근본적인 체질을 개선하는 기회로 삼는다는 전략이다. 최 회장은 ""신성장 사업 등 미래 투자는 시기를 놓치지 않고 추진 속도를 높이고, 적극적인 투자와 함께 신기술 개발과 인재 확보에 더욱 심혈을 기울이겠다""고 말했다.포스코그룹의 최우량기업 대상 수상은 이번이 두 번째다. 앞서 포스코는 2004년 경영학회에서 최우량기업 대상을 받았다. 당시 포스코는 경영 실적, 가치 창출 능력, 선진적인 지배구조 등 부문에서 국내 경영학자들에게 높은 평가를 받았다.[특별취재팀 : 여수 = 김대영 산업부장(부국장) / 이윤재 차장 / 원호섭 기자 / 진창일 기자 / 박윤구 기자 / 문광민 기자 / 서정원 기자 / 신유경 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
